id,text,review,cause,enabled,weight,notes
general1,lost to,,,TRUE,3,the plain one — every cause nobody wrote for gets this pool
general2,taken by,,,FALSE,2,
general3,done in by,,,TRUE,2,
general4,died by way of,,,TRUE,1,
general5,who perished by way of,,,TRUE,1,reads as an encounter rather than an attack
sharkchomp,chomped by,,shark,TRUE,3,
sharkbit,bitten thru by,,shark,TRUE,2,
sharkate,eaten by,,shark,TRUE,2,
sharkchum,chummed by,,shark,TRUE,1,
orcaswallow,free willy'd by,,orca,TRUE,3,
orcaout,shamu'd by,,orca,TRUE,2,the orca is the clever one — see bossNames.csv
orcaplay,played by,,orca,FALSE,1,orcas famously do not eat their food straight away
mosajaw,snapped by,,mosasaur,TRUE,3,
mosaold,dragged under by,,mosasaur,TRUE,2,
squidgrab,pulled apart by,,squid,TRUE,3,
squidink,penned by,,squid,TRUE,2,
squidarm,inked by,,squid,TRUE,1,
crabpinch,pinched to bits by,,crab,TRUE,3,
crabsnip,snipped by,,crab,TRUE,2,
crabclaw,clawed by,,crab,TRUE,1,
boathull,trawled by,,boat,TRUE,3,
boatprop,stricken by ,,boat,TRUE,2,
boatnet,netted by ,,boat,TRUE,1,
barrarush,devoured by,,barracuda,TRUE,3,
barrafast,ooooooh'd by,,barracuda,TRUE,1,"reads as 'never saw / a barracuda' — still a connector"
sailspear,speared by,,sailfish,TRUE,3,
sailfast,assailed by,,sailfish,TRUE,2,
rayzap,stung by,,ray,TRUE,3,
raybarb,barbed by,,ray,TRUE,2,
puffspine,punctured by,,puffer,TRUE,3,
pufftox,poisoned by,,puffer,TRUE,2,
dolphgang,bullied by,,dolphin,TRUE,3,
dolphpod,cornered by,,dolphin,TRUE,2,
turtleslow,somehow outpaced by,,turtle,TRUE,3,the turtle death is inherently embarrassing
turtleshell,shelled by,,turtle,TRUE,1,
oysterclamp,pearled by,,oyster,TRUE,3,
oystershut,shelled by,,oyster,TRUE,2,
frynibble,snacked on by,,fish,TRUE,3,
frymany,outnumbered by,,fish,TRUE,2,
fryshame,embarrassed by,,fish,TRUE,1,
bossslain,slain by,,boss,TRUE,3,the catch-all for a boss attack no species claims
bossundone,stopped by,,boss,TRUE,2,
bossout,outmatched by,,boss,TRUE,2,
drownundone,asphyxiated and,,drowning,TRUE,3,"drowning's label is the gerund 'running out of air' — its leads must take one"
drownbeaten,ended after,,drowning,TRUE,2,
drownoutlasted,forgot to mammal and ,,drowning,FALSE,1,
boltstruck,forgot about breach and,,lightning,TRUE,3,
boltsky,lit up by,,lightning,TRUE,2,
shotholed,shot by,,shot,FALSE,3,
shotpeppered,peppered by,,shot,FALSE,2,
