id,text,review,enabled,weight,when,causes
welcome,Hello {player}!,,TRUE,1,first,
goodluck,{departed} got speared. Will {player} be spared?,,TRUE,1,first,sailfish
firstdive,"First time, {player}?",,TRUE,1,first,
allyours,"Let's crack some clams, {player}.",,TRUE,1,first,
backagain,{departed} walked so that {player} could run,,TRUE,2,again,
watermissed,{departed} swam so that {player} could breach,,TRUE,1,again,
onemore,{departed} flipped so that {player} could flop,,TRUE,1,again,
lastrun,"{departed} died by way of {cause} What will your fate be, {player}.",,TRUE,2,again,
notoday,"{cause} got you, {departed}? Steer clear, {player}. ",,TRUE,2,again,
fixthat,"{departed} ended by {cause}. Don't make the same mistakes, {player}.",,TRUE,1,again,
sharkmemory,{departed} waddled so that {player} could frolic,,TRUE,1,again,
sharkweek,"{departed} got jawed. It's still shark week, {player}.",,TRUE,1,again,shark
breathe,"{departed} forgot to breathe. You're a mammal, {player}... ",,TRUE,1,again,drowning
crabseabed,"{departed} got crabbed. Work smarter, not harder, {player}.",,TRUE,1,again,crab
boatafloat,"Stay in your lane, {player}.",,TRUE,1,again,boat
bosstoday,RIP {departed}. Let's go {player}!,,TRUE,1,again,boss
"squidarms","{departed} got fried by the big calamari. Mind the tentacles, {player}!",,TRUE,1,again,squid
smallfry,"{departed} died to some lil guys. Embarrassing. Do better, {player}.",,TRUE,1,again,fish
departedgone,"How long 'til you join {departed} down in that graveyard, {player}.",,TRUE,2,again,
departedcause,"{departed} was lost to {cause}. Stake woke, {player}.",,TRUE,2,again,
departednow,{departed} didn't make it. {player} is up now...,,TRUE,2,again,
departedstone,{departed}'s body is still warm. {player}.,,TRUE,1,again,
departedshark,"{departed} got chummed. Swim good, {player}.",,TRUE,1,again,
departeddrown,"{departed} couldn't hang. I think we're going to need a bigger seal. You're up, {player}.",,TRUE,1,again,shark boat drowning
departedcrab,"{departed} got pinched. Mind the snap, {player}.",,TRUE,1,again,crab
departedcrabCopy,"{departed} got crabs. Safety first, {player}.",,TRUE,1,again,crab
departedboss,"{departed} couldn't take the heat. Are you cooked, {player}.",,TRUE,1,again,boss
stillhere,{departed} got ooh barracuda'd. {player} don't take that mess. ,,TRUE,2,again,barracuda
shakeitoff,"{departed} got whacked. Now you're family, {player}.",,TRUE,1,again,
shakeitoffCopy,"{departed} sleeps with the fishes. And now it's time for revenge, {player}.",,TRUE,1,again,
