id,slot,text,review,enabled,weight,notes
fat,adjective,Fat,TRUE,,,
prickly,adjective,Prickly,TRUE,,,
chonker,adjective,Chonker,TRUE,,,
shlub,adjective,Shlub,TRUE,,,
squish,adjective,Squish,TRUE,,,
senator,adjective,Senator,TRUE,,,
congressman,adjective,Congressman,TRUE,,,
primeminister,adjective,Prime Minister,TRUE,,,
honorable,adjective,The Honorable,TRUE,,,
congresswoman,adjective,Congresswoman,TRUE,,,
blubbery,adjective,Blubbery,TRUE,,,
slippery,adjective,Slippery,TRUE,,,
whiskered,adjective,Whiskered,TRUE,,,
briny,adjective,Briny,TRUE,,,
flippered,adjective,Flippered,TRUE,,,
sleek,adjective,Sleek,TRUE,,,
salty,adjective,Salty,TRUE,,,
derpy,adjective,Derpy,TRUE,,,
eepy,adjective,Eepy,TRUE,,,
cutie,adjective,Cutie,TRUE,,,
chunky,adjective,Chunky,TRUE,,,
barnacled,adjective,Barnacled,TRUE,,,
frosty,adjective,Frosty,TRUE,,,
greasy,adjective,Greasy,TRUE,,,
speckled,adjective,Speckled,TRUE,,,
glossy,adjective,Slick,TRUE,,,
plump,adjective,Plump,TRUE,,,
bearded,adjective,Bearded,TRUE,,,
molting,adjective,Whiskerz,TRUE,,,
soggy,adjective,Soggy,TRUE,,,
chubby,adjective,Chub,TRUE,,,
chubby2,adjective,Chubby,TRUE,,,
damp,adjective,Damp,TRUE,,,
bloated,adjective,Bloated,TRUE,,,
slick,adjective,Slipp'ry,TRUE,,,
portly,adjective,Dumpy,TRUE,,,
bunk,adjective,Bunk,TRUE,,,
crusty,adjective,Crusty,TRUE,,,
kelpy,adjective,Kelpy,TRUE,,,
slob,adjective,Slob,TRUE,,,
gordo,adjective,Gordo,TRUE,,,
beastie,adjective,Beastie,TRUE,,,
chummy,adjective,Chummy,TRUE,,,
squishy,adjective,Squishy,TRUE,,,
waddling,adjective,Waddling,TRUE,,,
beached,adjective,Swampass,TRUE,,,
honking,adjective,Barky,TRUE,,,
tony,nickname,Tony,TRUE,,,
bruno,nickname,Bruno,TRUE,,,
sal,nickname,Salvator,TRUE,,,
marge,nickname,Marge,TRUE,,,
pete,nickname,Peter,TRUE,,,
gus,nickname,Gus,TRUE,,,
wendell,nickname,Gustavo,TRUE,,,
doris,nickname,Doreen,TRUE,,,
otis,nickname,Otis,TRUE,,,
moe,nickname,Maurice,TRUE,,,
clyde,nickname,Clyde,TRUE,,,
winnie,nickname,Pookie,TRUE,,,
bart,nickname,Bart,TRUE,,,
hank,nickname,Hank,TRUE,,,
reggie,nickname,Reggie,TRUE,,,
ida,nickname,Impa,TRUE,,,
nugget,nickname,Nugget,TRUE,,,
barb,nickname,Chud,TRUE,,,
chuck,nickname,Chuck,TRUE,,,
lipshitz,nickname,Lipshitz,TRUE,,,
ramirez,nickname,Ramirez,TRUE,,,
gorbichev,nickname,Gorbichev,TRUE,,,
rocco,nickname,Chudley,TRUE,,,
mitch,nickname,Mitch,TRUE,,,
delores,nickname,Pino,TRUE,,,
sally,nickname,Sally,TRUE,,,
gertrude,nickname,Gertrude,TRUE,,,
doris2,nickname,Doris,TRUE,,,
bumbershoot,nickname,Bumbershoot,TRUE,,,
crankshaft,nickname,Crankshaft,TRUE,,,
mcknight,nickname,McKnight,TRUE,,,
wendy,nickname,Wendy,TRUE,,,
bob,nickname,Bob,TRUE,,,
geoff,nickname,Geoff,TRUE,,,
jeffrey,nickname,Jeffrey,TRUE,,,
carl,nickname,Carl,TRUE,,,
papi,nickname,Papi,TRUE,,,
cliff,nickname,Cliff,TRUE,,,
earl,nickname,Earl,TRUE,,,
margaret,nickname,Margaret,TRUE,,,
cougar,nickname,Cougar,TRUE,,,
persephone,nickname,Persephone,TRUE,,,
cathy,nickname,Cathy,TRUE,,,
carter,nickname,Carter,TRUE,,,
wayne,nickname,Wayne,TRUE,,,
boris,nickname,Boris,TRUE,,,
mac,nickname,Mac,TRUE,,,
omar,nickname,Omar,TRUE,,,
omarion,nickname,Omarion,TRUE,,,
beyonce,nickname,Beyonce,TRUE,,,
taylor,nickname,Taylor,TRUE,,,
shelly,nickname,Schnapps,TRUE,,,
michelle,nickname,Michelle,TRUE,,,
slut,nickname,Slut,TRUE,,,
clapper,nickname,Clapper,TRUE,,,
carneybarker,nickname,Carney Barker,TRUE,,,
bobbarker,full,Bob Barker,TRUE,,,
frank,nickname,Franky,TRUE,,,
flopsalot,full,Flip Flop,TRUE,,,A name the halves could never build.
wetbandit,full,The Wet Bandit,TRUE,,,
admiralwhiskers,full,Big Chungus,TRUE,,,
chiefblubber,full,Papa Pectoral Fins,TRUE,,,
twoflipper,full,Two-Flipper Gipper,TRUE,,,
lilchum,full,Lil' Chumbo,TRUE,,,No apostrophe — the name field strips them.
lilbrigsby,full,Lil' Brigsby,TRUE,,,
selkiedaddy,full,Selkie Daddy,TRUE,,,
selkiewithers,full,Selkie Withers,TRUE,,,
danidanger,full,Dani Danger,TRUE,,,
derp,nickname,Derp,TRUE,,,
danielsan,nickname,Daniel-San,TRUE,,,
yoshi,nickname,Yoshi,TRUE,,,
funyun,nickname,Funyun,TRUE,,,
pickle,nickname,Pickle,TRUE,,,
pickled,adjective,Pickled,TRUE,,,
goopy,adjective,Goopy,TRUE,,,
moist,adjective,Moist,TRUE,,,
mo1st,adjective,Mo1st,TRUE,,,
rich,adjective,Rich,TRUE,,,
richCopy,adjective,Sexy,TRUE,,,
richCopy2,adjective,Champ,TRUE,,,
richCopy3,nickname,Curmudgeon,TRUE,,,
clammy,adjective,Clammy,TRUE,,,
clammydavisjr,full,Clammy Davis Jr.,TRUE,,,
chillianmurphy,full,Chillian Murphy,TRUE,,,
christopher,full,Christopher Bobbin,TRUE,,,
selkiezedek,full,Selkie Zedek,TRUE,,,
billyocean,full,Billy Ocean,TRUE,,,
goldieprawn,full,Goldie Prawn,TRUE,,,
kurtmussel,full,Kurt Mussel,TRUE,,,
whisper,full,Whisper Creampuff,TRUE,,,
dennisskinner,full,Dennis Skinner,TRUE,,,
sandrabulwark,full,Sandra Bulwark,TRUE,,,
doncastanetta,full,Don Castanetta,TRUE,,,
stormybritches,full,Stormy Britches,TRUE,,,
boswansong,full,Bo Swansong,TRUE,,,
alwhitefish,full,Al Whitefish,TRUE,,,
theodore,full,Theodore Tiburon,TRUE,,,
clamjammer,full,Clam Jammer,TRUE,,,
rumpshaker,full,Rumpshaker,TRUE,,,
romeo,adjective,Romeo,TRUE,,,
don,adjective,Don,TRUE,,,
shrimpy,adjective,Shrimpy,TRUE,,,
pippi,adjective,Pippi,TRUE,,,
pimp,adjective,Pimp,TRUE,,,
pappy,adjective,Pappy,TRUE,,,
poppop,adjective,Pop-Pop,TRUE,,,
jesus,adjective,Jesus,TRUE,,,
snoop,adjective,Snoop,TRUE,,,
che,adjective,Che,TRUE,,,
chico,adjective,Chico,TRUE,,,
xi,adjective,Xi,TRUE,,,
vladamir,adjective,Vladamir,TRUE,,,
castanetta,nickname,Castanetta,TRUE,,,
castalanetta,nickname,Castalanetta,TRUE,,,
bulwark,nickname,Bulwark,TRUE,,,
garfunkel,nickname,Garfunkel,TRUE,,,
jingleheimer,nickname,Jingleheimer Schmidt,TRUE,,,
hillsong,nickname,Hillsong,TRUE,,,
christ,nickname,Christ,TRUE,,,
dogg,nickname,Dogg,TRUE,,,
ryckert,nickname,Ryckert,TRUE,,,
grubb,nickname,Grubb,TRUE,,,
ochoa,nickname,Ochoa,TRUE,,,
minotti,nickname,Minotti,TRUE,,,
odwyer,nickname,O'Dwyer,TRUE,,,"Renders as ""ODwyer"" — the name field strips apostrophes."
omalley,nickname,O'Malley,TRUE,,,"Renders as ""OMalley"" — the name field strips apostrophes."
grandstand,nickname,Grandstand,TRUE,,,
mccartney,nickname,McCartney,TRUE,,,
clinton,nickname,Clinton,TRUE,,,
castro,nickname,Castro,TRUE,,,
