id,slot,text,review,hue,enabled,weight,notes
shapeColourNoun,shape,The {colour} {noun},,,,3,"The plain shape: the definite article, the kit colour and the collective noun — a side is ""the Red Blobz"" the way a ball team is the Red Sox. Grammar, not copy — the words it puts together are the colour and noun rows."
shapeNicknamePossessive,shape,{nickname}'s {noun},,,FALSE,1,"OFF: Ethan asked for the colour shape only. The shape that names the side after one of its seals: Tony's Terrors. Grammar, not copy. The weight is left at what it had, so re-enabling it restores the old balance rather than needing it guessed again."
shapeAdjectiveNoun,shape,{adjective} {noun},,,FALSE,1,"OFF, with the possessive above and for the same reason. The other member shape — it borrows the FRONT half of a seal's name instead: Phat Terrors. Grammar, not copy."
colourRed,colour,Red,,0,,,
colourOrange,colour,Orange,,29,,,
colourYellow,colour,Yellow,,46,,,
colourLime,colour,Lime Green,,82,,,
colourGreen,colour,Green,,134,,,
colourTeal,colour,Teal,,165,,,
colourCyan,colour,Cyan,,197,,,
colourBlue,colour,Blue,,225,,,
colourViolet,colour,Violet,,259,,,
colourMagenta,colour,Magenta,,286,,,
colourPink,colour,Pink,,326,,,
colourWhite,colour,White,,neutral,,,
nounA,noun,Blubberbusters,,,,,
nounB,noun,Fishlickers,,,,,
nounC,noun,Gahlumps,,,,,
nounD,noun,Harumphs,,,,,
sausage,noun,Sausage Missiles,,,,,
seadinguses,noun,Sea Dinguses,,,,,
blobz,noun,Blobz,,,,,
chuds,noun,Chuds,,,,,
chads,noun,Chads,,,,,
blubberinos,noun,Blubberinos,,,,,
nounE,noun,Wawas,,,,,
nounF,noun,Porpoises,,,,,
nounG,noun,Sealz,,,,,
nounGCopy3,noun,Slick Willies,,,,,
nounGCopy2,noun,Wet Banditz,,,,,
nounGCopy,noun,Clam Jammers,,,,,
nounGCopy5,noun,Big Chunguses,,,,,
nounGCopy6,noun,Lumps,,,,,
nounGCopy7,noun,Clap Traps,,,,,
nounH,noun,Clammers,,,,,
fullA,full,Seal Team Six Seven,,,,,
fullB,full,The Dudes,,,,,
