id,name,desc,levelDescs,review,maxStacks,enabled,weight,cardArt,sfx,weaponName,weaponNameLaser
rapidFire,Supa Dupa Seal,Shoot faster.,,,8,TRUE,1,Beach_001,,Rapid Pebbles,Pew Pew Pew
heavyRounds,André the Giant,Hit harder.,,,,TRUE,1,Beach_002,,Giant Pebbles,Bigger Lasers
flippersUp,Flippers Up!,Upgrade a fin blaster.,,,6,TRUE,1,SeaLion,,,
overboost,None,,,,,FALSE,1,Beach_003,,,
maxSpeed,Speedy Seal,Speed up!,,,3,TRUE,1,OpeanOcean_001,,,
multishot,Pocket Full of Stones,More shots per fin.,,,8,TRUE,1,Beach_003,,Cloned Pebbles,More Lasers
projectileLife,André 3000,Shoot longer.,,,4,TRUE,1,OpeanOcean_003,,Piercing Pebbles,Piercing Beams
vitality,Healthy Pup!,Health up.,,,,TRUE,1,Beach_001,,,
magnet,C.H.U.M.,Carnivorous Hangry Underwater Mammals,,,,TRUE,1,MoorishIdol,,,
regen,Seal all Wounds,Health regen.,,,5,TRUE,1,Beach_003,,,
velocity,Seal the Deal,Shots travel quicker.,,,,TRUE,1,OpeanOcean_003,,Swift Pebbles,Quick Lasers
homingMissile,Homing Mussels,Heat-seeking mussel launcher.,,,15,TRUE,1,DeepSea_002,,,
seaGarlic,Sea Garlic,It's like garlic to a vampire. For for fish.,,,9,TRUE,1,Reef_003,,,
shrimpRing,Shrimp Ring,Shrimp is the bible for seals.,1:Opens a full ring of orbiting shrimp,,15,TRUE,1,Reef_003,,,
bounceShot,Periwinkle Poppers,"All balls, no pit.",,,6,TRUE,1,OpeanOcean_003,,,
laserEyes,Laser Eyes,A seal that shots lasers from its eyeballs.,,,6,TRUE,1,DeepSea_001,,,
bubbleJet,Bubba's Bubble Beam,A wiggly shmup beam.,,,6,TRUE,1,DeepSea_002,,,
electricEel,Electric Eel Friend,An Eel Buddy!,,,8,TRUE,1,Beach_003,,,
starfish,Surf Ninja,Sea Star Shurikens,,,8,TRUE,1,SeaStar,,,
seagullBomb,Seagull Bomb,Gulls go boom.,,,8,TRUE,1,Seagull,,,
sealTeam,Seal Team,Squad up! Add up to 6 seals to your team...,6:EVOLVE: the whole squad opens fire while it orbits.,,6,TRUE,1,SeaLion,,,
beluga,Baby Beluga Bubble Blaster,Is your mama home?,,,8,TRUE,1,DeepSea_003,,,
strikePower,Chain Gang,Combos up!,,,5,TRUE,1,MoorishIdol,,,
strikeDash,Striker,Dash and Strike damage up!,,,5,TRUE,1,Reef_002,,,
strikeShrapnel,The Bone Zone,Dash to unleash the bones of your prey.,,,6,TRUE,1,TidePool_001,,,
strikeCharge,Epic Seal Time,Elevated seal systems.,,,4,TRUE,1,TidePool_002,,,
boosterPack,Booster Pack,More boost pips.,,,6,TRUE,1,TidePool_002,,,
breachChain,Big Willy Style,Bonuses on breach.,,,3,TRUE,1,TidePool_003,,,
oxygenMax,Yoga,"Breathe deeper, {player}. ",,,5,TRUE,1,Beach_003,,,
oxygenRefill,Mammal Mode,More oxygen while breached.,,,5,TRUE,1,Reef_002,,,
bakalar,Bakalar's Boat,Bossman Bakalar drops Giant Bombs dropped on the 'net.,,,8,TRUE,1,TidePool_001,,,
calamari,Calamari Ring,Ring of squid.,,,8,TRUE,1,VampireSquid,,,
