id,value,min,max,notes
weapon.autofire,1,,,autofire
weapon.fireRate,0.56625,0.1,1.2,"basic shot seconds between volleys. On the music grid: 0.56625 is 2.265/4, one quarter note of CONFIG.music.barSeconds. Trying the slowest of the three candidates (bar/4, bar/6 = 0.3775, bar/8 = 0.28315) — this is 36% slower than the 0.36 it replaces, so read it against damagePerLevel before keeping it"
weapon.damage,10.5,1,30,"basic shot damage per pellet at level 1, before weapon.damagePerLevel and before any card. Was 7.5 and had no row here at all — a saved snapshot was its only real home, so editing config.js could not move it. Read against enemies.csv hp (a starting fish is 6, +0.8 per difficulty) and against the whole arsenal in this file: at the shipped bar/4 cadence and two pellets this is the gun's entire opening dps"
weapon.radius,0.26,0.08,0.5,"basic shot pebble SIZE — the hit circle and the drawn stone together. One number for both: main.js divides this by the pebble asset's authored radius (0.18) to get the mesh scale, so the stone is always drawn exactly as big as it hits. It used to normalise to the asset instead, which meant raising this widened the hitbox and changed nothing on screen. Was 0.18; against a starting fish's 0.4 this is a 14% wider hit window, and the shot travels 0.37 units a frame at 60fps so the margin is worth having"
weapon.life,3.6,0.5,8,"basic shot seconds a pellet flies — its RANGE, since range is life x speed. At the shipped speed of 22 this is 79 world units against an arena 80 wide, so a pellet now reaches the far wall; it was 1.6 (35 units), which is under half the screen and is why shots died in open water on a target the player could see. Andre 3000 multiplies this rather than replacing it, and every other projectile in the game carries its own life (CONFIG.missile.life, scallop.life, and so on) — this row is the GUN's."
weapon.beatLock.enabled,1,,,"shot grid: fire the basic shot on the music's bar lines. Off = the pre-grid free-running cooldown at the same interval"
weapon.beatLock.startOnBar,1,,,"shot grid: the run's FIRST shot waits for a downbeat (up to one bar of no gun). Off = it waits for the next slot instead, like every re-lock after it"
weapon.beatLock.maxDivision,64,1,128,"shot grid: finest division of a bar the interval may reach — a backstop against stacked halvings, not a balance number. 64 is 28 shots/sec"
weapon.alternateFins,1,,,"basic shot: the fins TRADE shots instead of firing together. On, one flipper per tick at fireRate / 2, so a bar/4 gun lands on eighth notes and the flashes read left-right-left. Off = the old simultaneous volley. Same pellets, same damage, same push either way — only the timing moves"
weapon.flipperSizeMul,1.22,1,3,"Flippers Up!: how much fatter one stack makes the pebbles leaving ONE flipper. Compounds per stack on that side, and stacks alternate fins — so 6 stacks is 1.22^3 = 1.82x on both, not 1.22^6 on one. Radius AND the drawn stone; damage per pellet is untouched, so this buys reach. Read it against weapon.radius (0.18)"
weapon.flipperElementStack,2,1,12,"Flippers Up!: which stack first puts an ELEMENT on the fin it feeds. 2 = the opening pick is one stone and nothing else, and every stack after it lights or deepens the fin it grows. Set above the card maxStacks (6) to turn the element half off entirely and leave a pure size card"
