id,seconds,chans,notes
hg-cards-001,0.976,1,
hg-cards-002,0.558,1,
hg-cards-003,0.982,1,
hg-cards-004,1.692,1,
hg-cards-005,0.979,1,
hg-cards-006,0.607,1,
hg-cards-007,1.265,1,
hg-cards-008,0.730,1,
hg-cards-009,0.323,1,
hg-cards-010,0.273,1,
hg-cards-011,0.441,1,
hg-cards-012,0.144,1,
hg-cards-013,0.444,1,
hg-cards-014,0.144,1,
hg-cards-015,0.374,1,
hg-cards-016,0.246,1,
hg-cards-017,0.344,1,
hg-cards-018,0.242,1,
hg-cards-019,0.176,1,
hg-cards-020,0.737,1,
hg-cards-021,0.312,1,
hg-cards-022,1.112,1,
hg-cards-023,0.849,1,
hg-cards-024,0.794,1,
hg-cards-025,1.060,1,
hg-cards-026,0.789,1,
hg-cards-027,1.092,1,
hg-cards-028,0.977,1,
hg-cards-029,1.187,1,
hg-cards-030,0.192,1,
hg-cards-031,0.239,1,
hg-cards-032,0.278,1,
hg-cards-033,0.532,1,
hg-cards-034,0.800,1,
hg-cards-035,0.697,1,
hg-cards-036,0.930,1,
hg-cards-037,0.144,1,
hg-cards-038,0.770,1,
hg-cards-039,0.281,1,
hg-cards-040,1.434,1,
hg-cards-041,1.577,1,
hg-cards-042,0.781,1,
hg-cards-043,0.923,1,
hg-cards-044,1.385,1,
hg-cards-045,1.026,1,
hg-cards-046,0.498,1,
hg-cards-047,1.347,1,
hg-cards-048,1.205,1,
hg-cards-049,0.939,1,
hg-cards-050,0.880,1,
hg-cards-051,0.583,1,
hg-cards-052,1.537,1,
hg-cards-053,0.600,1,
hg-cards-054,1.450,1,
hg-cards-055,0.558,1,
hg-cards-056,0.639,1,
hg-cards-057,0.536,1,
hg-cards-058,0.236,1,
hg-cards-059,0.279,1,
hg-cards-060,0.269,1,
hg-cards-061,1.147,1,
hg-cards-062,2.981,1,
hg-cards-063,2.804,1,
hg-cards-064,0.310,1,
hg-cards-065,0.793,1,
hg-cards-066,0.507,1,
hg-cards-067,0.596,1,
hg-cards-068,2.390,2,
hg-cards-069,1.501,2,
hg-cards-070,1.103,2,
hg-cards-071,3.512,2,
hg-cards-072,3.714,2,
hg-cards-digi-073,1.613,1,
hg-cards-digi-074,0.460,1,
hg-cards-digi-075,0.144,1,
hg-cards-digi-076,0.735,1,
hg-cards-digi-077,0.871,1,
hg-cards-digi-078,0.508,1,
hg-cards-digi-079,0.340,1,
hg-cards-digi-080,0.475,1,
hg-cards-digi-081,0.420,1,
hg-cards-digi-082,0.536,1,
hg-cards-digi-083,0.444,1,
hg-cards-digi-084,0.403,1,
eg-flickplop-01,0.144,1,
eg-flickplop-02,0.192,1,
eg-flickplop-03,0.470,1,
eg-flickplop-04,0.264,1,
eg-flickplop-05,0.283,1,
eg-flickplop-06,0.172,1,
eg-flickplop-07,0.156,1,
eg-flickplop-08,0.171,1,
eg-flickplop-09,0.217,1,
eg-flickplop-10,0.267,1,
eg-flickplop-11,0.294,1,
eg-flickplop-12,0.333,1,
eg-flickplop-13,0.370,1,
eg-flickplop-14,0.144,1,
eg-flickplop-15,0.200,1,
eg-flickplop-16,0.495,1,
hg-ui-blip-mack,0.267,2,
hg-ui-blip-menu-spat,0.169,1,
hg-ui-blip-noah,0.357,1,
seal-breach-01,0.710,2,
seal-56,1.201,1,
seal-boost-01,2.481,1,
seal-boost-02,1.278,1,
seal-boost-03,1.054,2,
seal-boost-04,0.905,1,
seal-wa-01,0.542,1,
seal-wa-02,0.515,1,
seal-07,0.751,2,
seal-13,0.728,2,
seal-call-02,1.403,1,
eliarf-boost-01,0.955,1,
fluteseal-01,0.627,1,
hg-ui-blip-oil-a,0.176,2,
hg-ui-blip-owl,0.346,1,
hg-ui-blip-arky,0.303,1,
hg-ui-blip-blue,0.160,1,
hg-ui-blip-borky,0.144,1,
hg-ui-blip-dove,0.189,2,
hg-ui-blip-froggy,0.417,1,
hg-ui-blip-snappy,0.393,1,
hg-ui-blip-woody,0.144,1,
hg-ui-blip-click-discus,0.144,1,
hg-ui-blip-sparky,0.144,2,
hg-ui-blip-menu-blockhead,0.150,1,
hg-ui-blip-menu-rooster,0.144,1,
hg-ui-blip-snarky,0.144,1,
hg-ui-blip-menu-dugg,0.168,2,
hg-ui-blip-menu-tchak,0.161,1,
hg-ui-blip-menu-bic,0.144,2,
hg-ui-blip-menu-20k,0.457,1,
hg-ui-blip-menu-plankton,0.144,2,
hg-ui-blip-menu-terminal,0.144,2,
eg-flickplop-01-p-2,0.288,1,
eg-flickplop-01-p-1,0.288,1,
eg-flickplop-01-p0,0.288,1,
eg-flickplop-01-p1,0.288,1,
eg-flickplop-01-p2,0.288,1,
eg-flickplop-02-p-2,0.385,1,
eg-flickplop-02-p-1,0.288,1,
eg-flickplop-02-p0,0.288,1,
eg-flickplop-02-p1,0.288,1,
eg-flickplop-02-p2,0.288,1,
eg-flickplop-03-p-2,0.938,1,
eg-flickplop-03-p-1,0.664,1,
eg-flickplop-03-p0,0.470,1,
eg-flickplop-03-p1,0.332,1,
eg-flickplop-03-p2,0.288,1,
eg-flickplop-04-p-2,0.524,1,
eg-flickplop-04-p-1,0.372,1,
eg-flickplop-04-p0,0.288,1,
eg-flickplop-04-p1,0.288,1,
eg-flickplop-04-p2,0.288,1,
eg-flickplop-05-p-2,0.566,1,
eg-flickplop-05-p-1,0.400,1,
eg-flickplop-05-p0,0.288,1,
eg-flickplop-05-p1,0.288,1,
eg-flickplop-05-p2,0.288,1,
eg-flickplop-06-p-2,0.341,1,
eg-flickplop-06-p-1,0.288,1,
eg-flickplop-06-p0,0.288,1,
eg-flickplop-06-p1,0.288,1,
eg-flickplop-06-p2,0.288,1,
eg-flickplop-07-p-2,0.312,1,
eg-flickplop-07-p-1,0.288,1,
eg-flickplop-07-p0,0.288,1,
eg-flickplop-07-p1,0.288,1,
eg-flickplop-07-p2,0.288,1,
eg-flickplop-08-p-2,0.341,1,
eg-flickplop-08-p-1,0.288,1,
eg-flickplop-08-p0,0.288,1,
eg-flickplop-08-p1,0.288,1,
eg-flickplop-08-p2,0.288,1,
eg-flickplop-09-p-2,0.434,1,
eg-flickplop-09-p-1,0.307,1,
eg-flickplop-09-p0,0.288,1,
eg-flickplop-09-p1,0.288,1,
eg-flickplop-09-p2,0.288,1,
eg-flickplop-10-p-2,0.533,1,
eg-flickplop-10-p-1,0.377,1,
eg-flickplop-10-p0,0.288,1,
eg-flickplop-10-p1,0.288,1,
eg-flickplop-10-p2,0.288,1,
eg-flickplop-11-p-2,0.585,1,
eg-flickplop-11-p-1,0.415,1,
eg-flickplop-11-p0,0.294,1,
eg-flickplop-11-p1,0.288,1,
eg-flickplop-11-p2,0.288,1,
eg-flickplop-12-p-2,0.661,1,
eg-flickplop-12-p-1,0.469,1,
eg-flickplop-12-p0,0.333,1,
eg-flickplop-12-p1,0.288,1,
eg-flickplop-12-p2,0.288,1,
eg-flickplop-13-p-2,0.740,1,
eg-flickplop-13-p-1,0.523,1,
eg-flickplop-13-p0,0.370,1,
eg-flickplop-13-p1,0.288,1,
eg-flickplop-13-p2,0.288,1,
eg-flickplop-14-p-2,0.288,1,
eg-flickplop-14-p-1,0.288,1,
eg-flickplop-14-p0,0.288,1,
eg-flickplop-14-p1,0.288,1,
eg-flickplop-14-p2,0.288,1,
eg-flickplop-15-p-2,0.399,1,
eg-flickplop-15-p-1,0.288,1,
eg-flickplop-15-p0,0.288,1,
eg-flickplop-15-p1,0.288,1,
eg-flickplop-15-p2,0.288,1,
eg-flickplop-16-p-2,0.991,1,
eg-flickplop-16-p-1,0.700,1,
eg-flickplop-16-p0,0.495,1,
eg-flickplop-16-p1,0.350,1,
eg-flickplop-16-p2,0.288,1,
knockbus-p-2-c0,0.988,1,
