card,model,flip,count,size,back,belly,bg,knock,colGap,rowGap,padX,padY,drop,rotate,rotateVary,yaw,roll,sway,loop,clip,bio,bioColor,bioSpeed,bioScale,bioContrast,bioCoverage,bioPan,bioEvolve,notes
2 fish,brownfish,,2,2.438,#336B99,#F0F7FA,#767C82,,,,,,,,,,,,,,,,,,,,,,"the school: count is how many sardines the face holds, size is a body length in tank units (x the tuner's fishSize). bg is the tank's BACKGROUND — the water behind the bodies, per card, and the first thing that says whether a card is a red suit or a black one. The tuner's tankBg scales all of them at once. colGap/rowGap scale this card's pip formation and padX/padY its seat padding (world units); blank means the tuner's pipColGap/pipRowGap/fishPadX/fishPadY. drop biases the formation down the card, rotate leans every body and rotateVary scatters each around that lean — blank means pipDrop/pipRotate/pipRotateVary. All of them are signed, so blank and 0 are different answers. The panel's card rows write them"
3 fish,sardine,,3,2.846,#336B99,#F0F7FA,#767C82,,,,,,,,,,,,,,0,#66FFE0,,,,,,,
4 fish,sardine,,4,1,#336B99,#F0F7FA,#767C82,,,,,,,,,,,,,,,,,,,,,,
5 fish,dancingcrab,,5,1.2,#336B99,#F0F7FA,#767C82,,,,,,,,,,,,,,2,#C8256E,,2.371,,,,,
6 fish,brownfish,,6,2.143,#9A6B99,#F0F7FA,#767C41,,2,1.622,,,0.8,,,,,,,,2,#FF626E,0,0.7966,,,,,
7 fish,sardine,,7,1,#336B99,#F0F7FA,#767C82,,,,,,,,,,,,,,,,,,,,,,
8 fish,sardine,,8,1,#336B99,#F0F7FA,#767C82,,,,,,,,,,,,,,2,#66FFE0,,,,,,,
9 fish,stingray,,9,1.867,#336B99,#F0F7FA,#767C82,,1.259,1.468,,0.2815,0.2861,,0,,,,,,0.8933,#660334,,,,,,,
10 fish,mightymeg,,10,1.193,#336B99,#F0F7FA,#767C82,,,,,,,,,,,,,,,,,,,,,,
2 star,clownfish,,2,2.74,#D8521E,#F6E7D2,#767C82,,,,,,,,,,,,,,0,#66FFE0,,,,,,,"every number card is a school of its suit's fish, as many bodies as the rank — the count IS the number; no pips are drawn. Small-fish pool: sardine clownfish tang brownfish surgeonfish tunafish fish2 puffer"
3 star,clownfish,,3,1.593,#D8521E,#F6E7D2,#767C82,,,,,,,,,,,,,,2,#FF49E0,,,,,,,
4 star,seaturtle,,4,1.748,#D8521E,#F6E7D2,#767C82,,1.76,0.6109,,,,,,0.9305,0.1046,,,,2,#663214,,,,,,,
5 star,clownfish,,5,1,#D8521E,#F6E7D2,#767C82,,,,,,,,,,,,,,,,,,,,,,
6 star,clownfish,,6,1,#D8521E,#F6E7D2,#767C82,,,,,,,,,,,,,,,,,,,,,,
7 star,clownfish,,7,1,#D8521E,#F6E7D2,#767C82,,,,,,,,,,,,,,,,,,,,,,
8 star,clownfish,,8,1,#D8521E,#F6E7D2,#767C82,,,,,,,,,,,,,,,,,,,,,,
9 star,flowerhatjelly,,9,1,#D8521E,#6CFF6C,#797C82,,,,,,,,,,,,,,,,,,,,,,
10 star,clownfish,,10,1,#D8521E,#F6E7D2,#767C82,,,,,,,,,,,,1,,1.037,#B4291F,,,,,,,
2 bubble,tang,,2,3.019,#2A4BA0,#E6E4B8,#767C82,,,2,,,0.8,,0,,,,,,2,#66856F,0.3073,0.1922,,,,0.4774,
3 bubble,tang,,3,3.019,#2A4BA0,#E6E4B8,#767C82,,,2,,,0.8,,0,,,,,,2,#66856F,0.3073,0.1922,,,,0.4774,
4 bubble,tang,,4,3.019,#2A4BA0,#E6E4B8,#767C82,,,2,,,0.8,,0,,,,,,2,#66856F,0.3073,0.1922,,,,0.4774,
5 bubble,tang,,5,3.019,#2A4BA0,#E6E4B8,#767C82,,,2,,,0.8,,0,,,,,,2,#66856F,0.3073,0.1922,,,,0.4774,
6 bubble,tang,,6,3.019,#2A4BA0,#E6E4B8,#767C82,,,2,,,0.8,,0,,,,,,2,#66856F,0.3073,0.1922,,,,0.4774,
7 bubble,tang,,7,3.019,#2A4BA0,#E6E4B8,#767C82,,,2,,,0.8,,0,,,,,,2,#66856F,0.3073,0.1922,,,,0.4774,
8 bubble,flowerhatjelly,,8,1.342,#2A4BA0,#E6E4B8,#767C52,,1.184,1.432,,,0.8,,0,,,,,,2,#66856F,0.3073,0.1922,,,,0.4774,
9 bubble,tang,,9,3.019,#2A4BA0,#E6E4B8,#767C82,,,2,,,0.8,,0,,,,,,2,#66856F,0.3073,0.1922,,,,0.4774,
